names,scores,logfoldchanges,pvals,pvals_adj
CLDND1,3.9920936,38.78816,6.549255251028483e-05,0.013801087698706516
C12orf75,3.9877899,9.164403,6.669168896475836e-05,0.013972027506602577
PCED1B-AS1,3.928078,14.283049,8.562746454924837e-05,0.017400282787816815
SAMD3,3.92754,11.607818,8.581915459085429e-05,0.017400282787816815
SNRPG,3.8958013,-0.52789706,9.787464317086042e-05,0.019443379323257532
H3F3B,3.8952632,503.41568,9.809212942088478e-05,0.019443379323257532
TOX,3.868366,6.3034563,0.00010956712675614684,0.021429291535330117
SKAP1,3.8516896,84.104836,0.00011730561771788814,0.022421369204714527
ARID4B,3.839855,143.89632,0.0001231070602591478,0.02337842786276139
G3BP2,3.8210268,45.667583,0.00013289721630111895,0.024837013090942453
RORA,3.816723,2.2615361,0.00013523572812897906,0.025194073781496826
KMT2E,3.7925158,347.94464,0.00014912883466322265,0.027180230639702534
KIF2A,3.7720737,3.7805486,0.00016189638796942693,0.028794079636737652
GYPC,3.7720737,18.542755,0.00016189638796942693,0.028794079636737652
CCSER2,3.769922,13.366194,0.0001632985991107934,0.028858955528515483
LIMD2,3.7683082,0.91780096,0.00016435774782378086,0.028858955528515483
CCND3,3.7677703,325.14432,0.00016471223131614068,0.028858955528515483
CELF2,3.7677703,158.14145,0.00016471223131614068,0.028858955528515483
ATM,3.7564733,32.221592,0.0001723246291256504,0.02983750269596188
B3GNT7,3.7527077,291.05496,0.00017493478198461233,0.030112311741035465
RPS27A,3.7419488,49.399178,0.00018259872445430917,0.03106817025614214
TSPYL2,3.7376451,3.2326539,0.0001857517944382767,0.031423011892475136
ANP32E,3.701603,123.48722,0.000214241748301257,0.03542812281599719
RPLP1,3.6951475,264.6852,0.00021975913832171151,0.036036825830081214
CD3D,3.6827748,30.503197,0.0002307089610081608,0.03751888545455919
PPP1R16B,3.6655605,67.58711,0.0002467974183658464,0.03969662300327153
RNF125,3.661795,50.762924,0.00025045431951643674,0.04006588529872998
PYHIN1,3.641891,51.247658,0.00027064273632277665,0.04282994055731683
TIGIT,3.6381254,57.44977,0.0002746297945512176,0.04322849199259406
BCL11B,3.6338217,-0.7720985,0.0002792538173595852,0.04372253252116697
SEPT6,3.611228,111.076,0.00030475054187011416,0.04721227473656216
TYMS,3.6096141,5.733135,0.0003066527380684244,0.047382274777134234
STK4,3.6080003,1.3898023,0.0003085660475169382,0.047553097427544905
GATA3,3.600469,5.976097,0.00031764353514112813,0.04882421648500839
