species,tissue_class,tissue_type,cell_name,marker,pmid
Human,Eye,Retina,Vascular cell,CDH5,31653841
Human,Eye,Retina,Microglial cell,C1QA,31653841
Human,Eye,Retina,Cone cell,OPN1LW,31653841
Human,Eye,Retina,Horizontal cell,ONECUT1,31653841
Human,Eye,Retina,Macroglial cell,FOS,31653841
Human,Eye,Retina,Müller glial cell,CLU,31653841
Human,Eye,Retina,Müller glial cell,ΑΡΟΕ,31653841
Human,Eye,Retina,Bipolar cell,TRPM1,31653841
Human,Eye,Retina,Microglial cell,AIF1,31653841
Human,Eye,Retina,Horizontal cell,LHX1,31653841
Human,Eye,Retina,Macroglial cell,FTL,31653841
Human,Eye,Retina,Retinal ganglion cell,SNCG,31653841
Human,Eye,Retina,Bipolar cell,CAMK2B,31653841
Human,Eye,Retina,Bipolar cell,GRM6,31653841
Human,Eye,Retina,Astrocyte,GFAP,31653841
Human,Eye,Retina,Astrocyte,CLU,31653841
Human,Eye,Retina,Astrocyte,SPARCL1,31653841
Human,Eye,Choroid,Artery cell,SEMA3G,31712411
Human,Eye,Choroid,Macrophage,AIF1,31712411
Human,Eye,Choroid,Retinal pigment epithelial cell,RPE65,31712411
Human,Eye,Choroid,Nonmyelinating schwann cell,SCN7A,31712411
Human,Eye,Choroid,Fibroblast,FBLN1,31712411
Human,Eye,Choroid,Vein cell,MMRN1,31712411
Human,Eye,Choroid,Artery cell,HEY1,31712411
Human,Eye,Choroid,Mast cell,KIT,31712411
Human,Eye,Choroid,Nonmyelinating schwann cell,NGFR,31712411
Human,Eye,Choroid,Leukocyte,PTPRC,31712411
Human,Eye,Choroid,Vein cell,DARC,31712411
Human,Eye,Choroid,Endothelial cell,VWF,31712411
Human,Eye,Choroid,Melanocyte,DCT,31712411
Human,Eye,Choroid,Myelinating schwann cell,MBP,31712411
Human,Eye,Choroid,Smooth muscle cell,RGS5,31712411
Human,Eye,Choroid,Melanocyte,MLANA,31712411
Human,Eye,Choroid,Melanocyte,PMEL,31712411
Human,Eye,Choroid,Nonmyelinating schwann cell,L1CAM,31712411
Human,Eye,Choroid,Myelinating schwann cell,MPZ,31712411
Human,Eye,Choroid,Endothelial cell,CD34,31712411
Human,Eye,Choroid,Melanocyte,TYRP1,31712411
Human,Eye,Choroid,Choriocapillaris cell,PLVAP,31712411
Human,Eye,Choroid,Schwann cell,PLP1,31712411
Human,Eye,Choroid,T cell,CD2,31712411
Human,Eye,Choroid,Choriocapillaris cell,CA4,31712411
Human,Eye,Choroid,Pericyte,RGS5,31712411
Human,Eye,Choroid,Nonmyelinating schwann cell,NCAM1,31712411
Human,Eye,Choroid,Retinal pigment epithelial cell,BEST1,31712411
Human,Eye,Choroid,Natural killer cell,CD2,31712411
Human,Eye,Choroid,B cell,CD79A,31712411
Human,Eye,Choroid,Endothelial cell,ICAM2,31712411
Mouse,Eye,Eye,Astrocyte,Gfap,31775049
Mouse,Eye,Eye,Microglial cell,Tmem119,31775049
Mouse,Eye,Eye,Ganglion cell,Pou4f1,31775049
Human,Eye,Eye,Horizontal cell,SEP4,31848347
Human,Eye,Eye,Rod cell,PDE6A,31848347
Human,Eye,Eye,Mueller glia cell,SLC1A3,31848347
Human,Eye,Eye,Bipolar cell,NETO1,31848347
Human,Eye,Eye,Amacrine cell,GAD1,31848347
Human,Eye,Eye,Retinal ganglion cell,RBPMS,31848347
Human,Eye,Eye,Cone cell,ARR3,31848347
Human,Esophagus,Esophagus,Monocyte,VCAN,31892341
Human,Esophagus,Esophagus,Immune cell,PTPRC,31892341
Human,Esophagus,Esophagus,Cytotoxic T cell,GZMB,31892341
Human,Esophagus,Esophagus,CD8+ T cell,CD8A,31892341
Human,Esophagus,Esophagus,Conventional dendritic cell 2(cDC2),CLEC10A,31892341
Human,Esophagus,Esophagus,Endothelial cell,CLEC14A,31892341
Human,Esophagus,Esophagus,Stratified keratinocyte,KRT4,31892341
Human,Esophagus,Esophagus,B cell,IGHD,31892341
Human,Esophagus,Esophagus,B cell,CD27,31892341
Human,Esophagus,Esophagus,B cell,TNFRSF13B,31892341
Human,Esophagus,Esophagus,Cytotoxic T cell,PRF1,31892341
Human,Esophagus,Esophagus,CD4+ T cell,CD8A,31892341
Human,Esophagus,Esophagus,Cytotoxic T cell,GNLY,31892341
Human,Esophagus,Esophagus,Conventional dendritic cell 2(cDC2),CD1C,31892341
Human,Esophagus,Esophagus,Vascular cell,VWF,31892341
Human,Esophagus,Esophagus,Gland ductal cell,KRT7,31892341
Human,Esophagus,Esophagus,Gland cell,TFF3,31892341
Human,Esophagus,Esophagus,Natural killer cell,NCR1,31892341
Human,Esophagus,Esophagus,B cell,FCER2,31892341
Human,Esophagus,Esophagus,Gland ductal cell,KRT23,31892341
Human,Esophagus,Esophagus,B cell,CD19,31892341
Human,Esophagus,Esophagus,CD8+ T cell,CD3E,31892341
Human,Esophagus,Esophagus,Stromal cell,COL1A2,31892341
Human,Esophagus,Esophagus,Natural killer cell,NCAM1,31892341
Human,Esophagus,Esophagus,Mast cell,TPSB2,31892341
Human,Esophagus,Esophagus,CD8+ T cell,CD4,31892341
Human,Esophagus,Esophagus,Monocyte,CD14,31892341
Human,Esophagus,Esophagus,Macrophage,APOE,31892341
Human,Esophagus,Esophagus,Dividing cell,MKI67,31892341
Human,Esophagus,Esophagus,CD4+ T cell,CD3E,31892341
Human,Esophagus,Esophagus,Gland cell,MUC5B,31892341
Human,Esophagus,Esophagus,Vascular cell,CCL21,31892341
Human,Esophagus,Esophagus,Stromal cell,DCN,31892341
Human,Esophagus,Esophagus,B cell,TCL1A,31892341
Human,Esophagus,Esophagus,Basal epithelial cell,ITGA6,31892341
Human,Esophagus,Esophagus,Monocyte,FCN1,31892341
Human,Esophagus,Esophagus,Basal epithelial cell,SCPEP1,31892341
Human,Esophagus,Esophagus,Basal epithelial cell,KRT5,31892341
Human,Esophagus,Esophagus,Stromal cell,FBLN1,31892341
Human,Esophagus,Esophagus,Endothelial cell,PECAM1,31892341
Human,Esophagus,Esophagus,CD4+ T cell,CD4,31892341
Human,Esophagus,Esophagus,B cell,CD79A,31892341
Human,Lung,Lung,Cytotoxic T cell,PRF1,31892341
Human,Lung,Lung,CD8+ T cell,CD4,31892341
Human,Lung,Lung,Alveolar cell Type 1,AGER,31892341
Human,Lung,Lung,Cytotoxic T cell,GNLY,31892341
Human,Lung,Lung,Cytotoxic T cell,GZMB,31892341
Human,Lung,Lung,CD8+ T cell,CD8A,31892341
Human,Lung,Lung,CD8+ T cell,CD3E,31892341
Human,Lung,Lung,Plasmacytoid dendritic cell(pDC),IL3RC,31892341
Human,Lung,Lung,Ciliated cell,FOXJ1,31892341
Human,Lung,Lung,Monocyte,FCN1,31892341
Human,Lung,Lung,CD4+ T cell,CD8A,31892341
Human,Lung,Lung,Dividing cell,MKI67,31892341
Human,Lung,Lung,Natural killer cell,CD160,31892341
Human,Lung,Lung,Plasmacytoid dendritic cell(pDC),CLEC4C,31892341
Human,Lung,Lung,Ciliated cell,EPCAM,31892341
Human,Lung,Lung,Alveolar cell Type 1,SFTPC,31892341
Human,Lung,Lung,Macrophage,CD5L,31892341
Human,Lung,Lung,Macrophage,APOE,31892341
Human,Lung,Lung,Vascular cell,VWF,31892341
Human,Lung,Lung,B cell,CD79A,31892341
Human,Lung,Lung,Alveolar cell Type 1,SLPI,31892341
Human,Lung,Lung,Ciliated cell,PIFO,31892341
Human,Lung,Lung,Conventional dendritic cell 2(cDC2),CD1C,31892341
Human,Lung,Lung,Conventional dendritic cell 1(cDC1),CLEC9A,31892341
Human,Lung,Lung,Fibroblast,PDGFRA,31892341
Human,Lung,Lung,CD4+ T cell,CD4,31892341
Human,Lung,Lung,Monocyte,CD14,31892341
Human,Lung,Lung,Monocyte,VCAN,31892341
Human,Lung,Lung,Macrophage,MARCO,31892341
Human,Lung,Lung,Natural killer cell,NCR1,31892341
Human,Lung,Lung,Fibroblast,VCAN,31892341
Human,Lung,Lung,Regulatory T(Treg) cell,IL2RA,31892341
Human,Lung,Lung,Activated dendritic cell,CCR7,31892341
Human,Lung,Lung,Conventional dendritic cell 1(cDC1),XCR1,31892341
Human,Lung,Lung,Alveolar cell Type 2,AGER,31892341
Human,Lung,Lung,B cell,CD19,31892341
Human,Lung,Lung,Conventional dendritic cell 2(cDC2),CLEC10A,31892341
Human,Lung,Lung,Alveolar cell Type 1,EPCAM,31892341
Human,Lung,Lung,Plasma cell,XBP1,31892341
Human,Lung,Lung,B cell,MS4A1,31892341
Human,Lung,Lung,Natural killer cell,NCAM1,31892341
Human,Lung,Lung,Alveolar cell Type 2,SLPI,31892341
Human,Lung,Lung,Regulatory T(Treg) cell,FOXP3,31892341
Human,Lung,Lung,Plasma cell,SDC1,31892341
Human,Lung,Lung,Muscularis cell,TAGLN,31892341
Human,Lung,Lung,Muscularis cell,ACTA2,31892341
Human,Lung,Lung,Dividing cell,CDK1,31892341
Human,Lung,Lung,Vascular cell,CCL21,31892341
Human,Lung,Lung,Alveolar cell Type 2,EPCAM,31892341
Human,Lung,Lung,Alveolar cell Type 2,SFTPC,31892341
Human,Lung,Lung,CD4+ T cell,CD3E,31892341
Human,Lung,Lung,Vascular cell,PECAM1,31892341
