species,tissue_class,tissue_type,cell_name,marker,pmid
Human,Spleen,Spleen,Naive CD8 T cell,SOCS3,32351704
Human,Spleen,Spleen,Plasma cell,IGHA2,32351704
Human,Spleen,Spleen,Naive B cell,IL4R,32351704
Human,Spleen,Spleen,Naive CD8 T cell,MYC,32351704
Human,Spleen,Spleen,Naive CD4 T cell,NOSIP,32351704
Human,Spleen,Spleen,Plasmacytoid dendritic cell(pDC),LILRA4,32351704
Human,Spleen,Spleen,Naive CD4 T cell,SELL,32351704
Human,Spleen,Spleen,Effector memory CD8+ T cell,ITGA1,32351704
Human,Spleen,Spleen,Regulatory T (Treg) cell,CORO1B,32351704
Human,Spleen,Spleen,Plasma cell,DPEP1,32351704
Human,Spleen,Spleen,Naive CD8 T cell,LEF1,32351704
Human,Spleen,Spleen,Macrophage,APOC1,32351704
Human,Spleen,Spleen,Plasma cell,JCHAIN,32351704
Human,Spleen,Spleen,Macrophage,NUPR1,32351704
Human,Spleen,Spleen,Effector memory CD8+ T cell,CXCR3,32351704
Human,Spleen,Spleen,Central memory CD8+ T cell,MAL,32351704
Human,Spleen,Spleen,Macrophage,FABP5,32351704
Human,Spleen,Spleen,Naive B cell,IGHM,32351704
Human,Spleen,Spleen,Megakaryocyte,PIG6B,32351704
Human,Spleen,Spleen,Megakaryocyte,NRGN,32351704
Human,Spleen,Spleen,T follicular helper(Tfh) cell,LTB,32351704
Human,Spleen,Spleen,Naive B cell,FCER2,32351704
Human,Spleen,Spleen,Monocyte,CD14,32351704
Human,Spleen,Spleen,Central memory CD4+ T cell,TSHZ2,32351704
Human,Spleen,Spleen,Central memory CD4+ T cell,LEF1,32351704
Human,Spleen,Spleen,Macrophage,APOE,32351704
Human,Spleen,Spleen,Naive CD4 T cell,MAL,32351704
Human,Spleen,Spleen,Naive CD8 T cell,NOSIP,32351704
Human,Spleen,Spleen,Plasma cell,SDC1,32351704
Human,Spleen,Spleen,Central memory CD4+ T cell,MAL,32351704
Human,Spleen,Spleen,Macrophage,CD5L,32351704
Human,Spleen,Spleen,Central memory CD4+ T cell,SOCS3,32351704
Human,Spleen,Spleen,Central memory CD8+ T cell,RCAN3,32351704
Human,Spleen,Spleen,Megakaryocyte,PPBP,32351704
Human,Spleen,Spleen,Central memory CD8+ T cell,NOSIP,32351704
Human,Spleen,Spleen,Naive CD4 T cell,MYC,32351704
Human,Spleen,Spleen,Regulatory T (Treg) cell,ICA1,32351704
Human,Spleen,Spleen,Regulatory T (Treg) cell,ARID5B,32351704
Human,Spleen,Spleen,Natural killer cell,KLRF1,32351704
Human,Spleen,Spleen,Central memory CD8+ T cell,CCR7,32351704
Human,Spleen,Spleen,Macrophage,MARCO,32351704
Human,Spleen,Spleen,Naive CD4 T cell,CCR7,32351704
Human,Spleen,Spleen,Plasmacytoid dendritic cell(pDC),CCDC50,32351704
Human,Spleen,Spleen,Conventional dendritic cell 2(cDC2),HLA-DQA1,32351704
Human,Spleen,Spleen,Conventional dendritic cell 1(cDC1),HIST1H4C,32351704
Human,Spleen,Spleen,Central memory CD8+ T cell,TSHZ2,32351704
Human,Spleen,Spleen,Naive CD4 T cell,SOCS3,32351704
Human,Spleen,Spleen,Macrophage,HMOX1,32351704
Human,Spleen,Spleen,Conventional dendritic cell 2(cDC2),HLA-DQB1,32351704
Human,Spleen,Spleen,Plasmacytoid dendritic cell(pDC),BCL11A,32351704
Human,Spleen,Spleen,T cell,CXCR6,32351704
Human,Spleen,Spleen,Regulatory T (Treg) cell,FANK1,32351704
Human,Spleen,Spleen,Regulatory T (Treg) cell,RTKN2,32351704
Human,Spleen,Spleen,Central memory CD8+ T cell,SOCS3,32351704
Human,Spleen,Spleen,Central memory CD8+ T cell,SELL,32351704
Human,Spleen,Spleen,Naive B cell,TCL1A,32351704
Human,Spleen,Spleen,Regulatory T (Treg) cell,IL2RA,32351704
Human,Spleen,Spleen,Megakaryocyte,MYL9,32351704
Human,Spleen,Spleen,Central memory CD8+ T cell,TCF7,32351704
Human,Spleen,Spleen,Central memory CD8+ T cell,MYC,32351704
Human,Spleen,Spleen,Regulatory T (Treg) cell,FOXP3,32351704
Human,Spleen,Spleen,Conventional dendritic cell 2(cDC2),PPA1,32351704
Human,Spleen,Spleen,Conventional dendritic cell 2(cDC2),FCER1A,32351704
Human,Spleen,Spleen,Natural killer cell,CXCR6,32351704
Human,Spleen,Spleen,Effector memory T cell,TNFRSF4,32351704
Human,Spleen,Spleen,Megakaryocyte,SPARC,32351704
Human,Spleen,Spleen,Naive CD4 T cell,LEF1,32351704
Human,Spleen,Spleen,Macrophage,LGMN,32351704
Human,Spleen,Spleen,Natural killer cell,CXCR5,32351704
Human,Spleen,Spleen,Macrophage,SELENOP,32351704
Human,Spleen,Spleen,Macrophage,MRC1,32351704
Human,Spleen,Spleen,Plasmacytoid dendritic cell(pDC),ITM2C,32351704
Human,Spleen,Spleen,Effector memory CD8+ T cell,CD8B,32351704
Human,Spleen,Spleen,Natural killer cell,CXCR3,32351704
Human,Spleen,Spleen,Natural killer cell,NCAM1,32351704
Human,Spleen,Spleen,Central memory CD8+ T cell,LEF1,32351704
Human,Spleen,Spleen,Plasmacytoid dendritic cell(pDC),IRF8,32351704
Human,Spleen,Spleen,Effector memory CD8+ T cell,CD8A,32351704
Human,Spleen,Spleen,Megakaryocyte,CAVIN2,32351704
Human,Spleen,Spleen,Macrophage,SLC40A1,32351704
Human,Spleen,Spleen,Regulatory T (Treg) cell,CTLA4,32351704
Human,Spleen,Spleen,Macrophage,FTL,32351704
Human,Spleen,Spleen,Naive CD4 T cell,TSHZ2,32351704
Human,Spleen,Spleen,Plasmacytoid dendritic cell(pDC),C12orf75,32351704
Human,Spleen,Spleen,Central memory CD4+ T cell,TCF7,32351704
Human,Spleen,Spleen,Central memory CD4+ T cell,NOSIP,32351704
Human,Spleen,Spleen,Plasmacytoid dendritic cell(pDC),TCF4,32351704
Human,Spleen,Spleen,Effector memory CD8+ T cell,CD52,32351704
Human,Spleen,Spleen,Macrophage,FABP4,32351704
Human,Spleen,Spleen,T follicular helper(Tfh) cell,CD40LG,32351704
Human,Spleen,Spleen,Central memory CD4+ T cell,SELL,32351704
Human,Spleen,Spleen,Effector memory T cell,CD52,32351704
Human,Spleen,Spleen,Conventional dendritic cell 2(cDC2),CD1C,32351704
Human,Spleen,Spleen,Natural killer cell,CCR7,32351704
Human,Spleen,Spleen,T follicular helper(Tfh) cell,GPR183,32351704
Human,Spleen,Spleen,B cell,CD19,32351704
Human,Spleen,Spleen,Naive CD4 T cell,TCF7,32351704
Human,Spleen,Spleen,Natural killer cell,CX3CR1,32351704
Human,Spleen,Spleen,Megakaryocyte,PF4,32351704
Human,Spleen,Spleen,T cell,CXCR3,32351704
Human,Spleen,Spleen,Plasmacytoid dendritic cell(pDC),IRF7,32351704
Human,Spleen,Spleen,T cell,CX3CR1,32351704
Human,Spleen,Spleen,T follicular helper(Tfh) cell,MALAT1,32351704
Human,Spleen,Spleen,T cell,CCR7,32351704
Human,Spleen,Spleen,Effector memory T cell,TIMP1,32351704
Human,Spleen,Spleen,Megakaryocyte,TUBB1,32351704
Human,Spleen,Spleen,T cell,CD3D,32351704
Human,Spleen,Spleen,Regulatory T (Treg) cell,GBP2,32351704
Human,Spleen,Spleen,Plasmacytoid dendritic cell(pDC),SPIB,32351704
Human,Spleen,Spleen,Megakaryocyte,ITGA2B,32351704
Human,Spleen,Spleen,T cell,CXCR5,32351704
Human,Spleen,Spleen,T follicular helper(Tfh) cell,CXCR5,32351704
Human,Spleen,Spleen,Effector memory T cell,AQP3,32351704
Human,Spleen,Spleen,Effector memory T cell,LTB,32351704
Human,Spleen,Spleen,Effector memory T cell,IL7R,32351704
Human,Blood,Blood,T cell,CD4,32377375
Human,Blood,Blood,Myeloid cell,CD1C,32377375
Human,Blood,Blood,Natural killer cell,CD4,32377375
Human,Blood,Blood,T cell,CD3E,32377375
Human,Blood,Blood,Natural killer cell,CD8A,32377375
Human,Blood,Blood,Myeloid cell,FCGR3A,32377375
Human,Blood,Blood,Natural killer cell,CD3E,32377375
Human,Blood,Blood,T cell,CD8A,32377375
Human,Blood,Blood,Myeloid cell,CD14,32377375
Human,Blood,Blood,B cell,CD19,32377375
Human,Blood,Blood,Natural killer cell,NCAM1,32377375
Human,Blood,Blood,T cell,NCAM1,32377375
Mouse,Blood,Peripheral blood,Conventional dendritic cell(cDC),CD1a,32403085
Mouse,Blood,Peripheral blood,Conventional dendritic cell(cDC),CD11c,32403085
Human,Blood,Blood,Myeloid cell,IL1B,32405063
Human,Blood,Blood,Lymphocyte,CD79A,32405063
Human,Blood,Blood,Lymphocyte,NKG7,32405063
Human,Blood,Blood,Myeloid cell,CXCL8,32405063
Human,Blood,Blood,Myeloid cell,CD14,32405063
Human,Blood,Blood,Lymphocyte,CD3D,32405063
Human,Undefined,Undefined,CD8+ T cell,CD3E,32405063
Human,Undefined,Undefined,CD8+ T cell,CD8A,32405063
Human,Undefined,Undefined,B cell,CD79A,32405063
Human,Undefined,Undefined,Natural killer cell,NKG7,32405063
Human,Eye,Eye,Vascular endothelial cell,KDR,32439707
Human,Eye,Eye,Lymphatic endothelial cell,PECAM1,32439707
Human,Eye,Eye,Vascular endothelial cell,VWF,32439707
Human,Eye,Eye,Vascular endothelial cell,EFNB2,32439707
Human,Eye,Eye,Vascular endothelial cell,DLL4,32439707
Human,Eye,Eye,Vascular endothelial cell,EFNB2,32439707
Human,Eye,Eye,Lymphatic endothelial cell,LYVE1,32439707
Human,Eye,Eye,Trabecular meshwork cell,CHI3L1,32439707
Human,Eye,Eye,Lymphatic endothelial cell,MMRN1,32439707
Human,Eye,Eye,Lymphatic endothelial cell,FLT4,32439707
Human,Eye,Eye,Vascular endothelial cell,FLT1,32439707
Human,Eye,Eye,Vascular endothelial cell,DLL4,32439707
Human,Eye,Eye,Vascular endothelial cell,VWF,32439707
Human,Eye,Eye,Vascular endothelial cell,EPHB4,32439707
Human,Eye,Eye,Trabecular meshwork cell,MYOC,32439707
Human,Eye,Eye,Vascular endothelial cell,EPHB4,32439707
Human,Eye,Eye,Trabecular meshwork cell,MGP,32439707
Human,Eye,Eye,Vascular endothelial cell,FLT1,32439707
Human,Eye,Eye,Lymphatic endothelial cell,PROX1,32439707
Human,Eye,Eye,Trabecular meshwork cell,aquaporin-1,32439707
Human,Eye,Eye,Vascular endothelial cell,KDR,32439707
Human,Gastrointestinal tract,Gastrointestinal tract,T cell,CD3D,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,B cell,MS4A1,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,T cell,CD3E,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,B cell,CD79A,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Endocrine cell,CHGA,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Endothelial cell,VWF,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Macrophage,CD14,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Endothelial cell,ENG,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Fibroblast,ACTA2,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Epithelial cell,EPCAM,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Mast cell,CPA3,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Epithelial cell,KRT18,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,T cell,CD2,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Fibroblast,COL1A2,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Parietal cell,ATP4A,32532891
Human,Gastrointestinal tract,Gastrointestinal tract,Epithelial cell,KRT8,32532891
Human,Fetal liver,Yolk sac,Progenitor cell,SPINK1,32614947
Human,Undefined,Undefined,Megakaryocyte,PF4,32614947
Human,Undefined,Undefined,Megakaryocyte,CD41,32614947
Human,Undefined,Undefined,Multipotent progenitor cell,CD132,32614947
Human,Undefined,Undefined,Multipotent progenitor cell,CD34,32614947
Human,Undefined,Undefined,Granulocyte,AZU1,32614947
Human,Undefined,Undefined,Megakaryocyte,GP9,32614947
Human,Undefined,Undefined,Multipotent progenitor cell,CD52,32614947
Human,Undefined,Undefined,Leukocyte,Mac-1,32614947
Human,Undefined,Undefined,Hematopoietic stem cell,CD180,32614947
Human,Undefined,Undefined,Red blood cell (erythrocyte),MYC,32614947
Human,Undefined,Undefined,Macrophage,25F9,32614947
Human,Undefined,Undefined,Leukocyte,LFA-1,32614947
Human,Undefined,Undefined,Red blood cell (erythrocyte),KLF1,32614947
Human,Undefined,Undefined,Multipotent progenitor cell,CD180,32614947
Human,Undefined,Undefined,Progenitor cell,AZU1,32614947
Human,Undefined,Undefined,Hematopoietic stem cell,CD34,32614947
Human,Undefined,Undefined,Multipotent progenitor cell,CD33,32614947
Human,Undefined,Undefined,Red blood cell (erythrocyte),EPCAM,32614947
Human,Undefined,Undefined,Naive progenitor cell,ITGB2,32614947
Human,Undefined,Undefined,Progenitor cell,CD18,32614947
Human,Undefined,Undefined,Naive 1 progenitor cell,CD18,32614947
Human,Undefined,Undefined,Hematopoietic stem cell,CD33,32614947
Human,Undefined,Undefined,Hematopoietic stem cell,CD132,32614947
Human,Undefined,Undefined,Red blood cell (erythrocyte),CD235a,32614947
Human,Undefined,Undefined,Naive 1 progenitor cell,CD44,32614947
Human,Undefined,Undefined,Primitive hematopoiesis cell,HBE1,32614947
Human,Undefined,Undefined,Progenitor cell,GP9,32614947
Human,Undefined,Undefined,Granulocyte,PRNT3,32614947
Human,Undefined,Undefined,Progenitor cell,CD44,32614947
Human,Undefined,Undefined,Progenitor cell,KLF1,32614947
Human,Undefined,Undefined,Naive progenitor cell,CD44,32614947
Human,Undefined,Undefined,Progenitor cell,CD326,32614947
Human,Undefined,Undefined,Progenitor cell,CD9,32614947
Human,Undefined,Undefined,Hematopoietic stem cell,CD44,32614947
Human,Undefined,Undefined,Progenitor cell,GATA2,32614947
Human,Undefined,Undefined,Leukocyte,CD11a-d,32614947
Human,Undefined,Undefined,Multipotent progenitor cell,CD44,32614947
Human,Undefined,Undefined,Progenitor cell,ICAM2,32614947
Human,Undefined,Undefined,Hematopoietic stem cell,IL3RA,32614947
Human,Undefined,Undefined,Naive progenitor cell,CD33,32614947
Human,Undefined,Undefined,Progenitor cell,KIT,32614947
Human,Undefined,Undefined,Mesoderm cell,FRZB,32614947
Human,Undefined,Undefined,Red blood cell (erythrocyte),GYPA,32614947
Human,Undefined,Undefined,Multipotent progenitor cell,IL3RA,32614947
Human,Undefined,Undefined,Progenitor cell,PF4,32614947
Human,Undefined,Undefined,Progenitor cell,GYPA,32614947
Human,Undefined,Undefined,Endothelial cell,CD144,32614947
Human,Undefined,Undefined,Hematopoietic stem cell,CD52,32614947
Human,Undefined,Undefined,Progenitor cell,PRNT3,32614947
Mouse,Esophagus,Esophagus,Memory T cell,Tcf7,32709844
Mouse,Esophagus,Esophagus,Memory T cell,Il7r,32709844
Mouse,Esophagus,Esophagus,Memory T cell,Ccr7,32709844
Human,Esophagus,Esophagus,Myofibroblast,PLN,32712105
Human,Esophagus,Esophagus,Myofibroblast,SERPINE1,32712105
Human,Esophagus,Esophagus,Fibroblast,CTGF,32712105
Human,Esophagus,Esophagus,Myofibroblast,CTGF,32712105
Human,Esophagus,Esophagus,Fibroblast,SERPINE1,32712105
Human,Esophagus,Esophagus,Myofibroblast,COL1A1,32712105
Human,Esophagus,Esophagus,Myofibroblast,TAGLN,32712105
Human,Esophagus,Esophagus,Myofibroblast,ACTA2,32712105
Human,Esophagus,Esophagus,Fibroblast,ACTA2,32712105
Human,Esophagus,Esophagus,Fibroblast,TAGLN,32712105
Human,Esophagus,Esophagus,Fibroblast,PLN,32712105
Human,Esophagus,Esophagus,Fibroblast,COL1A1,32712105
Mouse,Esophagus,Esophagus,Mesoderm,Sfrp2,32855417
Mouse,Esophagus,Esophagus,Mesoderm,Wnt4,32855417
Mouse,Esophagus,Esophagus,Mesoderm,Nkx6-1,32855417
Mouse,Heart,Heart,Mesoderm,Isl1,32855417
Mouse,Heart,Heart,Mesoderm,Mtus2,32855417
Mouse,Lung,Lung,Mesoderm,Wnt2,32855417
Mouse,Lung,Lung,Mesoderm,Gata4,32855417
Mouse,Lung,Lung,Mesoderm,Nkx6-1,32855417
Mouse,Pharynx,Pharynx,Mesoderm,Prrx1,32855417
Mouse,Pharynx,Pharynx,Mesoderm,Tbx1,32855417
Mouse,Stomach,Stomach,Mesoderm,Barx1,32855417
Mouse,Stomach,Stomach,Mesoderm,Hlx,32855417
Mouse,Trachea,Trachea,Mesoderm,Nkx6-1,32855417
Mouse,Trachea,Trachea,Mesoderm,Wnt2,32855417
Mouse,Trachea,Trachea,Mesoderm,Gata4,32855417
Human,Eye,Retinal pigment epithelium,Effector T(Teff) cell,CD2,33187533
Human,Eye,Retinal pigment epithelium,B cell,CD79A,33187533
Human,Eye,Retinal pigment epithelium,Effector T(Teff) cell,NKG7,33187533
Human,Eye,Retinal pigment epithelium,Macrophage,AIF1,33187533
Human,Eye,Retinal pigment epithelium,Macrophage,CD68,33187533
Human,Eye,Retinal pigment epithelium,Effector natural killer cell,CD2,33187533
Human,Eye,Retinal pigment epithelium,Macrophage,CD163,33187533
Human,Eye,Retinal pigment epithelium,Mast cell,KIT,33187533
Human,Eye,Retinal pigment epithelium,Mast cell,CPA3,33187533
Human,Eye,Retinal pigment epithelium,Effector T(Teff) cell,CD8B,33187533
Human,Eye,Retinal pigment epithelium,Macrophage,CD14,33187533
Human,Eye,Retinal pigment epithelium,Effector natural killer cell,NKG7,33187533
Human,Eye,Retinal pigment epithelium,Effector natural killer cell,CD8B,33187533
Human,Esophagus,Esophagus,Cancer cell,CD19,33293583
Human,Esophagus,Esophagus,Cancer cell,CD1C,33293583
Human,Esophagus,Esophagus,Cancer cell,IL3RA,33293583
Human,Esophagus,Esophagus,Cancer cell,KLRD1,33293583
Human,Esophagus,Esophagus,Cancer cell,IGHG1,33293583
Human,Esophagus,Esophagus,Cancer cell,CD3G,33293583
Human,Esophagus,Esophagus,Cancer cell,VCAN,33293583
Human,Esophagus,Esophagus,Cancer cell,CD68,33293583
Human,Esophagus,Esophagus,Cancer cell,CD163,33293583
Human,Eye,Retina,Retina cell,CPODXL,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,RPE65,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,RBP1,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,CSTV,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,CRYAB,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,CRABP1,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,TIMP3,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,BEST1,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,RLBP1,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,CST3,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,ENPP2,33307245
Human,Eye,Retina,Retina cell,SPP1,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,VEGFA,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,RGR,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,HNRNPH1,33307245
Human,Eye,Retina,Retina cell,STAC2,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,SERPINF1,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,TYRP1,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,TYR,33307245
Human,Eye,Retina,Retina cell,PCDH9,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,PMEL,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,PLTP,33307245
Human,Eye,Eye,Retinal pigment epithelial cell,TTR,33307245
Human,Head and neck,Head and neck,Conventional CD4 T cell,CD3E,33332284
Human,Head and neck,Head and neck,Conventional CD4 T cell,CD3G,33332284
Human,Head and neck,Head and neck,Conventional CD4 T cell,CD3D,33332284
Human,Eye,Retinal organoid,Rod cell,GNGT1,33513359
Human,Eye,Retinal organoid,Photoreceptor cell,RCVRN,33513359
Human,Eye,Retinal organoid,Photoreceptor cell,CRX,33513359
Human,Eye,Retinal organoid,Cone cell,ARR3,33513359
Human,Eye,Retinal organoid,Rod cell,GNAT1,33513359
Human,Eye,Retinal organoid,Cone cell,PDE6H,33513359
Human,Esophagus,Esophagus,Monocyte,CD68,33545035
Human,Esophagus,Esophagus,Monocyte,CD16,33545035
Human,Esophagus,Esophagus,Mast cell,KIT,33545035
Human,Esophagus,Esophagus,Conventional dendritic cell(cDC),FCER1A,33545035
Human,Esophagus,Esophagus,Plasmacytoid dendritic cell(pDC),LILRA4,33545035
Human,Esophagus,Esophagus,Monocyte,CD14,33545035
Human,Esophagus,Esophagus,Langerhans cell,CD207,33545035
Human,Esophagus,Esophagus,Langerhans cell,CD1A,33545035
Human,Esophagus,Esophagus,Macrophage,CD163,33545035
Human,Esophagus,Esophagus,Conventional dendritic cell(cDC),HLA-DQA1,33545035
Mouse,Eye,Eye,Neuron,RBPMS,33712461
Mouse,Eye,Eye,Neuron,ISL1,33712461
Mouse,Eye,Eye,Neuron,Brn3a,33712461
Mouse,Eye,Eye,Neuron,Brn3b,33712461
Human,Eye,Lacrimal gland,Endothelial cell,PECAM1,33730555
Human,Eye,Lacrimal gland,Ductal cell,LCN2,33730555
Human,Eye,Lacrimal gland,Myoepithelial cell,MYH11,33730555
Human,Eye,Lacrimal gland,Myoepithelial cell,TPM2,33730555
Human,Eye,Lacrimal gland,Epithelial cell,FOXC1,33730555
Human,Eye,Lacrimal gland,Epithelial cell,AQP5,33730555
Human,Eye,Lacrimal gland,Myoepithelial cell,KRT5,33730555
Human,Eye,Lacrimal gland,Acinar cell,PRR27,33730555
Human,Eye,Lacrimal gland,Lymphocyte,PTPRC,33730555
Human,Eye,Lacrimal gland,Acinar cell,HTN1,33730555
Human,Eye,Lacrimal gland,Ductal cell,WFDC2,33730555
Human,Eye,Lacrimal gland,Acinar cell,LTF,33730555
Human,Eye,Lacrimal gland,Epithelial cell,PAX6,33730555
Human,Eye,Lacrimal gland,Myoepithelial cell,ACTA2,33730555
Human,Eye,Lacrimal gland,Lymphocyte,CD2,33730555
Human,Eye,Lacrimal gland,Endothelial cell,CDH5,33730555
Human,Eye,Lacrimal gland,Myoepithelial cell,MYLK,33730555
Human,Eye,Lacrimal gland,Acinar cell,SCGB2A1,33730555
Mouse,Eye,Retina,Microglial cell,Trem2,33836603
Mouse,Eye,Retina,Microglial cell,Aif1,33836603
Mouse,Eye,Retina,Microglial cell,Csf1r,33836603
Mouse,Esophagus,Esophagus,Columnar cell,Muc5ac,33882290
Mouse,Esophagus,Esophagus,Barrett’s esophagus cell,Vil1,33882290
Mouse,Esophagus,Esophagus,Squamous cell,Krt14,33882290
Mouse,Esophagus,Esophagus,Squamous cell,Krt5,33882290
Mouse,Esophagus,Esophagus,Columnar cell,Tff1,33882290
Mouse,Esophagus,Esophagus,Columnar cell,Krt8,33882290
Human,Esophagus,Esophagus,Classical barrett’s esophagus cell,KRT20,33882290
Mouse,Esophagus,Esophagus,Squamous cell,Krt13,33882290
Human,Esophagus,Esophagus,Classical barrett’s esophagus cell,KRT7,33882290
Mouse,Esophagus,Esophagus,Barrett’s esophagus cell,Agr2,33882290
Human,Esophagus,Esophagus,Classical barrett’s esophagus cell,AGR2,33882290
Mouse,Esophagus,Esophagus,Columnar cell,Krt18,33882290
Mouse,Esophagus,Esophagus,Squamous cell,Trp63,33882290
Mouse,Esophagus,Esophagus,Columnar cell,Cldn18,33882290
Mouse,Esophagus,Esophagus,Columnar cell,Krt7,33882290
Mouse,Esophagus,Esophagus,Squamous cell,Krt4,33882290
Human,Esophagus,Esophagus,Classical barrett’s esophagus cell,VIL1,33882290
Human,Esophagus,Esophagus,Classical barrett’s esophagus cell,KRT8,33882290
Mouse,Epithelium,Airway epithelium,Epithelial cell,H3K4me3,33947861
Human,Fetal striatum,Lateral ganglionic eminence,D2-MSN(medium spiny neuron),GRIK3,33958447
Human,Fetal striatum,Lateral ganglionic eminence,Intermediate progenitor cell,ASCL1,33958447
Human,Fetal striatum,Lateral ganglionic eminence,LGE-lineage cell (lateral ganglionic eminence),MEIS2,33958447
Human,Fetal striatum,Lateral ganglionic eminence,Mature MSN(medium spiny neuron),CTIP2,33958447
Human,Fetal striatum,Lateral ganglionic eminence,pre-MSN(medium spiny neuron),OCT6,33958447
Human,Fetal striatum,Lateral ganglionic eminence,D2-MSN(medium spiny neuron),SIX3,33958447
Human,Fetal striatum,Lateral ganglionic eminence,GABAergic neuron,GAD2,33958447
Human,Fetal striatum,Lateral ganglionic eminence,Early progenitor cell,GSX2,33958447
Human,Fetal striatum,Lateral ganglionic eminence,Medium spiny neuron(MSN),FOXP1,33958447
Human,Fetal striatum,Lateral ganglionic eminence,D1-MSN(medium spiny neuron),TAC1,33958447
Human,Fetal striatum,Lateral ganglionic eminence,D2-MSN(medium spiny neuron),SP9,33958447
Human,Fetal striatum,Lateral ganglionic eminence,Neuron,DCX,33958447
Human,Fetal striatum,Lateral ganglionic eminence,D1-MSN(medium spiny neuron),ISL1,33958447
Human,Fetal striatum,Lateral ganglionic eminence,D1-MSN(medium spiny neuron),EBF1,33958447
Human,Fetal striatum,Lateral ganglionic eminence,D1-MSN(medium spiny neuron),hfb_G_000352,33958447
Human,Fetal striatum,Lateral ganglionic eminence,D2-MSN(medium spiny neuron),SIX3-AS1,33958447
Mouse,Esophagus,Esophagus,Basal progenitor cell,Itga6,33972733
Mouse,Esophagus,Esophagus,Basal progenitor cell,Krt14,33972733
Mouse,Esophagus,Esophagus,Fibroblast,Col1a1,33972733
Mouse,Esophagus,Esophagus,Fibroblast,Pdgfra,33972733
Mouse,Esophagus,Esophagus,Basal cell,Itgb1,33972733
Mouse,Esophagus,Esophagus,Basal cell,Itga6,33972733
Mouse,Esophagus,Esophagus,Fibroblast,Fn1,33972733
Mouse,Esophagus,Esophagus,Basal progenitor cell,Itgb1,33972733
Mouse,Esophagus,Esophagus,Basal cell,Krt14,33972733
Mouse,Esophagus,Esophagus,Basal cell,KRT14,33972733
Mouse,Esophagus,Esophagus,Fibroblast,Col1a2,33972733
Mouse,Esophagus,Esophagus,Suprabasal cell,KRT4,33972733
Mouse,Eye,Eye,Basal cell,Itgb4,33984282
Mouse,Eye,Cornea,Corneal cell,Krt12,33984282
Mouse,Eye,Eye,Suprabasal cell,Cdkn1a,33984282
Mouse,Eye,Eye,Suprabasal cell,Dsg1a,33984282
Mouse,Eye,Eye,Basal cell,Itgb1,33984282
Mouse,Eye,Eye,Basal cell,Ccnd1,33984282
Mouse,Eye,Cornea,Corneal cell,Slurp1,33984282
Mouse,Eye,Eye,Suprabasal cell,Cld4,33984282
Human,Blood,Blood,Memory B cell,TCRβ,34163487
Human,Blood,Blood,Memory B cell,TCRα,34163487
Human,Gall bladder,Gall bladder,Squamous cell,TP63,34171432
Human,Gall bladder,Gall bladder,Exhausted CD8+ T cell,PDCD1,34171432
Human,Gall bladder,Gall bladder,Squamous cell,S100A7,34171432
Human,Gall bladder,Gall bladder,M2 macrophage,CD206,34171432
Human,Gall bladder,Gall bladder,M2 macrophage,CD163,34171432
Human,Gall bladder,Gall bladder,Exhausted CD8+ T cell,LAG3,34171432
Human,Gall bladder,Gall bladder,M2 macrophage,IL10,34171432
Human,Gall bladder,Gall bladder,Exhausted CD8+ T cell,CTLA4,34171432
Human,Gall bladder,Gall bladder,Regulatory T(Treg) cell,FOXP3,34171432
Human,Gall bladder,Gall bladder,M2 macrophage,CD163,34171432
Human,Blood,Blood,Monocyte,CD14,34183838
Human,Blood,Blood,Regulatory CD4+ T cell,CD25,34183838
Human,Blood,Blood,Monocyte,CD16,34183838
