organ_tissue,cell_ontology_class
Small_Intestine,immature enterocyte
Small_Intestine,intestinal crypt stem cell
Small_Intestine,intestinal crypt stem cell of small intestine
Small_Intestine,intestinal enteroendocrine cell
Small_Intestine,intestinal tuft cell
Small_Intestine,mast cell
Small_Intestine,mature enterocyte
Small_Intestine,monocyte
Small_Intestine,neutrophil
Small_Intestine,paneth cell of epithelium of small intestine
Small_Intestine,plasma cell
Small_Intestine,small intestine goblet cell
Small_Intestine,transit amplifying cell of small intestine
Spleen,cd141-positive myeloid dendritic cell
Spleen,cd1c-positive myeloid dendritic cell
Spleen,"cd4-positive, alpha-beta memory t cell"
Spleen,"cd8-positive, alpha-beta memory t cell"
Spleen,"cd8-positive, alpha-beta t cell"
Spleen,classical monocyte
Spleen,endothelial cell
Spleen,erythrocyte
Spleen,hematopoietic stem cell
Spleen,innate lymphoid cell
Spleen,intermediate monocyte
Spleen,macrophage
Spleen,mature nk t cell
Spleen,memory b cell
Spleen,naive b cell
Spleen,"naive thymus-derived cd4-positive, alpha-beta t cell"
Spleen,"naive thymus-derived cd8-positive, alpha-beta t cell"
Spleen,neutrophil
Spleen,nk cell
Spleen,plasma cell
Spleen,plasmacytoid dendritic cell
Spleen,platelet
Spleen,regulatory t cell
Spleen,type i nk t cell
Thymus,b cell
Thymus,capillary endothelial cell
Thymus,cd4-positive helper t cell
Thymus,"cd8-positive, alpha-beta cytotoxic t cell"
Thymus,"cd8-positive, alpha-beta t cell"
Thymus,dendritic cell
Thymus,dn1 thymic pro-t cell
Thymus,dn3 thymocyte
Thymus,dn4 thymocyte
Thymus,endothelial cell of artery
Thymus,endothelial cell of lymphatic vessel
Thymus,erythrocyte
Thymus,fast muscle cell
Thymus,fibroblast
Thymus,immature natural killer cell
Thymus,innate lymphoid cell
Thymus,macrophage
Thymus,mast cell
Thymus,mature nk t cell
Thymus,medullary thymic epithelial cell
Thymus,memory b cell
Thymus,mesothelial cell
Thymus,monocyte
Thymus,myeloid dendritic cell
Thymus,naive b cell
Thymus,naive regulatory t cell
Thymus,nk cell
Thymus,plasma cell
Thymus,t follicular helper cell
Thymus,thymocyte
Thymus,vascular associated smooth muscle cell
Thymus,vein endothelial cell
Tongue,basal cell
Tongue,capillary endothelial cell
Tongue,endothelial cell of artery
Tongue,endothelial cell of lymphatic vessel
Tongue,epithelial cell
Tongue,fibroblast
Tongue,immune cell
Tongue,keratinocyte
Tongue,pericyte cell
Tongue,schwann cell
Tongue,tongue muscle cell
Tongue,vein endothelial cell
Trachea,b cell
Trachea,basal cell
Trachea,"cd4-positive, alpha-beta t cell"
Trachea,"cd8-positive, alpha-beta t cell"
Trachea,ciliated cell
Trachea,connective tissue cell
Trachea,"double-positive, alpha-beta thymocyte"
Trachea,endothelial cell
Trachea,fibroblast
Trachea,goblet cell
Trachea,ionocyte
Trachea,macrophage
Trachea,mast cell
Trachea,mucus secreting cell
Trachea,neutrophil
Trachea,plasma cell
Trachea,secretory cell
Trachea,serous cell of epithelium of trachea
Trachea,smooth muscle cell
Trachea,t cell
Trachea,tracheal goblet cell
Uterus,b cell
Uterus,ciliated epithelial cell
Uterus,endothelial cell
Uterus,endothelial cell of lymphatic vessel
Uterus,epithelial cell
Uterus,epithelial cell of uterus
Uterus,fibroblast
Uterus,immune cell
Uterus,macrophage
Uterus,myometrial cell
Uterus,nk cell
Uterus,pericyte cell
Uterus,t cell
Uterus,vascular associated smooth muscle cell
Vasculature,artery endothelial cell
Vasculature,b cell
Vasculature,endothelial cell
Vasculature,epithelial cell
Vasculature,erythrocyte
Vasculature,fibroblast
Vasculature,lymphatic endothelial cell
Vasculature,macrophage
Vasculature,mast cell
Vasculature,nk cell
Vasculature,pericyte cell
Vasculature,plasma cell
Vasculature,smooth muscle cell
Vasculature,t cell
