cell_ontology_class,free_annotation,number of cells
macrophage,Sorted Myeloid,69
macrophage,Tissue resident macrophage,1124
macrophage,macrophage,27890
macrophage,macrophages,108
mast cell,Mast Cell,9
mast cell,Mast cell,18
mast cell,Mast_Cells,4
mast cell,mast cell,1557
mast cell,mast cells,650
mature conventional dendritic cell,conventional dendritic cell,17
mature enterocyte,mature enterocyte,1118
mature nk t cell,mature nk t cell,705
medullary thymic epithelial cell,medullary thymic epithelial cell,166
melanocyte,melanocytes,64
melanocyte,melanocytes or limbal stem cells,144
memory b cell,Memory B cell,2888
memory b cell,memory b cell,12788
mesenchymal stem cell,Mesenchymal Stem Cells,1311
mesenchymal stem cell,mesenchymal stem cell,14148
mesothelial cell,mesothelial cell,41
microglial cell,retina - microglia,209
monocyte,Monocyte,1071
monocyte,Monocytes,88
monocyte,monocyte,11311
monocyte,monocytes,44
mucus secreting cell,mucus secreting cell,64
muller cell,retina - muller glia,360
muscle cell,muscle cells,437
myeloid cell,Monocyte/Macrophage,365
myeloid cell,myeloid cell,1862
myeloid dendritic cell,Myeloid Dendritic cells,3
myeloid progenitor,myeloid progenitor,290
myoepithelial cell,Myoepithelial,196
myofibroblast cell,Myofibroblasts,982
myofibroblast cell,myofibroblast cell,2088
myometrial cell,Myometrial smooth muscle,199
naive b cell,Naive B cell,1127
naive b cell,naive b cell,5634
naive regulatory t cell,na?ve regulatory T cell,761
"naive thymus-derived cd4-positive, alpha-beta t cell",Naive CD4-positive helper T cells,71
"naive thymus-derived cd5-positive, alpha-beta t cell","naive thymus-derived cd4-positive, alpha-beta t cell",3172
"naive thymus-derived cd8-positive, alpha-beta t cell",Naive CD8-positive T cell,88
"naive thymus-derived cd9-positive, alpha-beta t cell","naive thymus-derived cd8-positive, alpha-beta t cell",610
nampt neutrophil,NAMPT neutrophil,464
neutrophil,Neutrophil,654
neutrophil,neutrophil,14236
nk cell,NK cell,1801
nk cell,NK cells,19
nk cell,Natural Killer Cell,257
nk cell,Natural killer cells,80
nk cell,Natural_Killar_cells,572
